FECHA,TURNO,COD EQ MINA,COD EQ INC,FAMILIA,HORAS PROGRAMADAS,H.DIESEL INICIAL,H.DIESEL FINAL,TOTAL H. DIESEL,H. PERCUSION INCIAL BRAZO 1,H. PERCUSION FINAL BRAZO 1,TOTAL H. PERC BRAZO 1,H. PERCUSION INCIAL BRAZO 2,H. PERCUSION FINAL BRAZO 2,TOTAL H. PERC BRAZO 2,TOTAL MAX PERCUSION,H. ELECTRICO 1 INICIAL,H. ELECTRICO 1 FINAL,TOTAL H. ELECTRICO 1,H. ELECTRICO 2 INICIAL,H. ELECTRICO 2 FINAL,TOTAL H. ELECTRICO 2,TOTAL MAX ELECTRICO,HRS_TRAB,UT,HRS_TALLER_AFECTA,PARADA,DM,MTTR,N_INTERV,MTBF,R_t,DM_STATUS,RT_STATUS
2023-01-01,NOCHE,J-212,JF-T-08,JF,10,1496.0,1497.0,1.0,2725.8,2727.6,1.7999999999997272,,,0,1.7999999999997272,3896.4,3898.6,2.199999999999818,0,0,0,2.199999999999818,3.199999999999818,0.3199999999999818,0.49999999999999956,0.0,0.95,0.0,1.0,3.199999999999818,0.36787944117144233,BUENO 🟢,MALO 🔴
2023-01-01,NOCHE,B-202,EM-I-11,EM,10,4283.6,4284.7,1.0999999999994543,1357.5,1357.9,0.40000000000009095,,,0,0.40000000000009095,5845.1,5849.0,3.899999999999636,0,0,0,3.899999999999636,4.9999999999990905,0.4999999999999091,0.49999999999999956,0.0,0.95,0.0,1.0,4.9999999999990905,0.36787944117144233,BUENO 🟢,MALO 🔴
2023-01-01,NOCHE,SC-208,SC-I-08,SC,10,56.9,61.2,4.300000000000004,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0.0,4.300000000000004,0.43000000000000044,0.49999999999999956,0.0,0.95,0.0,1.0,4.300000000000004,0.36787944117144233,BUENO 🟢,MALO 🔴
2023-01-01,NOCHE,SC-210,SC-I-13,SC,10,7473.0,7478.0,5.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0.0,5.0,0.5,0.49999999999999956,0.0,0.95,0.0,1.0,5.0,0.36787944117144233,BUENO 🟢,MALO 🔴
2023-01-01,NOCHE,SC-221,SC-T-21,SC,10,2463.7,2468.2,4.5,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0.0,4.5,0.45,0.49999999999999956,0.0,0.95,0.0,1.0,4.5,0.36787944117144233,BUENO 🟢,MALO 🔴
2023-01-01,NOCHE,SC-223,SC-T-22,SC,10,1783.5,1787.5,4.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0.0,4.0,0.4,0.49999999999999956,0.0,0.95,0.0,1.0,4.0,0.36787944117144233,BUENO 🟢,MALO 🔴
2023-01-01,NOCHE,LC-204,LC-I-01,LC,10,4695.8,4699.0,3.199999999999818,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0.0,3.199999999999818,0.3199999999999818,0.49999999999999956,0.0,0.95,0.0,1.0,3.199999999999818,0.36787944117144233,BUENO 🟢,MALO 🔴
2023-01-01,NOCHE,MX-205,MX-I-03,MX,10,6869.9,6874.2,4.300000000000182,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0.0,4.300000000000182,0.4300000000000182,0.49999999999999956,0.0,0.95,0.0,1.0,4.300000000000182,0.36787944117144233,BUENO 🟢,MALO 🔴
2023-01-01,NOCHE,MX-218,MX-T-03,MX,10,3721.0,3724.0,3.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0.0,3.0,0.3,0.49999999999999956,0.0,0.95,0.0,1.0,3.0,0.36787944117144233,BUENO 🟢,MALO 🔴
2023-01-01,NOCHE,TH-206,TH-I-02,TH,10,8032.6,8037.0,4.399999999999636,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0.0,4.399999999999636,0.43999999999996364,0.49999999999999956,0.0,0.95,0.0,1.0,4.399999999999636,0.36787944117144233,BUENO 🟢,MALO 🔴
